id,category,difficulty,focus_area,baseline_score,routing_f1,numeric_f1,hallucination_rate,task_coverage,sql_correctness,evaluation_time
TC-001,Planner_Basics,Easy,Planner,1.0,1.0,1.0,0.0,1.0,1.0,0.00026490003801882267
TC-002,Planner_Multi_Asset,Medium,Planner,0.701530612244898,1.0,0.005102040816326531,0.0,1.0,1.0,0.022842900012619793
TC-003,Planner_Precision,Hard,Planner,0.9249999999999999,1.0,0.7499999999999999,0.0,1.0,1.0,0.00031479995232075453
TC-004,Planner_Temporal,Medium,Planner,0.9142857142857143,1.0,0.7142857142857143,0.0,1.0,1.0,0.00018179998733103275
TC-005,Planner_Multi_Action,Hard,Planner,0.916,1.0,0.72,0.0,1.0,1.0,0.00026929995510727167
TC-006,Planner_Complex,Very Hard,Planner,0.9666666666666667,1.0,0.888888888888889,0.0,1.0,1.0,0.00032840005587786436
TC-007,Routing_Technical,Easy,Supervisor,0.9142857142857143,1.0,0.7142857142857143,0.0,1.0,1.0,0.00016199995297938585
TC-008,Routing_Fundamental,Easy,Supervisor,0.7000000000000001,1.0,0.0,0.0,1.0,1.0,0.00016629998572170734
TC-009,Routing_Risk,Easy,Supervisor,0.4,0.0,0.0,0.0,1.0,1.0,0.00013019994366914034
TC-010,Routing_Multi_Task,Hard,Supervisor,0.85,1.0,0.5,0.0,1.0,1.0,0.00017749995458871126
TC-011,Routing_Edge_Chart,Medium,Supervisor,1.0,1.0,1.0,0.0,1.0,1.0,0.00012209999840706587
TC-012,Routing_Prediction,Medium,Supervisor,0.7000000000000001,1.0,0.0,0.0,1.0,1.0,0.0001218999968841672
TC-013,Routing_Concept,Easy,Supervisor,0.7857142857142857,1.0,0.2857142857142857,0.0,1.0,1.0,0.00017600005958229303
TC-014,Routing_Volatility,Easy,Supervisor,1.0,1.0,1.0,0.0,1.0,1.0,0.00013870000839233398
TC-015,Routing_Completion,Hard,Supervisor,0.8263157894736842,1.0,0.4210526315789474,0.0,1.0,1.0,0.0002618000144138932
TC-016,Technical_SQL_Simple,Easy,Technical_Analyst,0.6142857142857142,1.0,0.7142857142857143,0.0,1.0,-1.0,0.00016799999866634607
TC-017,Technical_SQL_Top,Medium,Technical_Analyst,0.7947368421052632,1.0,0.31578947368421056,0.8,1.0,1.0,0.00019019993487745523
TC-018,Technical_Chart,Easy,Technical_Analyst,1.0,1.0,1.0,0.0,1.0,1.0,0.00013099994976073503
TC-019,Technical_Prediction,Medium,Technical_Analyst,0.7000000000000001,1.0,0.0,0.0,1.0,1.0,0.00012969993986189365
TC-020,Technical_Completeness,Hard,Technical_Analyst,0.9272727272727272,1.0,0.7575757575757575,0.0,1.0,1.0,0.00043750007171183825
TC-021,Technical_Exclusivity,Hard,Technical_Analyst,1.0,1.0,1.0,0.0,1.0,1.0,0.0001724000321701169
TC-022,Technical_Unknown_Asset,Medium,Technical_Analyst,0.711764705882353,1.0,0.0392156862745098,0.98,1.0,1.0,0.00021510000806301832
TC-023,Fundamental_RAG_Concept,Medium,Fundamental_Analyst,0.7857142857142857,1.0,0.2857142857142857,0.0,1.0,1.0,0.00018759991507977247
TC-024,Fundamental_RAG_Empty,Hard,Fundamental_Analyst,0.7000000000000001,1.0,0.0,0.0,1.0,1.0,0.0001661001006141305
TC-025,Fundamental_News,Easy,Fundamental_Analyst,0.8090909090909091,1.0,0.3636363636363636,0.0,1.0,1.0,0.00018900004215538502
TC-026,Fundamental_News_Empty,Medium,Fundamental_Analyst,0.88,1.0,0.6,0.0,1.0,1.0,0.00018040009308606386
TC-027,Fundamental_Citation,Hard,Fundamental_Analyst,0.9249999999999999,1.0,0.7499999999999999,0.0,1.0,1.0,0.00032320001628249884
TC-028,Risk_Volatility_Basic,Easy,Risk_Officer,0.7000000000000001,1.0,0.0,0.0,1.0,1.0,0.00013830000534653664
TC-029,Risk_High_Warning,Hard,Risk_Officer,0.4,0.0,0.0,0.0,1.0,1.0,0.00017549993935972452
TC-030,Risk_No_Data,Medium,Risk_Officer,1.0,1.0,1.0,0.0,1.0,1.0,0.00011479994282126427
TC-031,Risk_Tone,Easy,Risk_Officer,0.7464937560038424,0.5555555555555555,0.5994236311239193,0.0,1.0,1.0,0.000978600000962615
TC-032,Risk_Hallucination,Hard,Risk_Officer,0.85,1.0,0.5,0.0,1.0,1.0,0.00012630003038793802
TC-033,Final_Consolidation,Medium,Final_Output,0.85,1.0,0.5,0.0,1.0,1.0,0.00021470000501722097
TC-034,Final_Chart_Attribution,Hard,Final_Output,1.0,1.0,1.0,0.0,1.0,1.0,0.0001626000739634037
TC-035,Final_Completeness,Very Hard,Final_Output,0.9342629482071714,1.0,0.7808764940239045,0.0,1.0,1.0,0.00037109991535544395
TC-036,Final_Hallucination,Hard,Final_Output,0.7000000000000001,1.0,0.0,1.0,1.0,1.0,0.00014269992243498564
TC-037,End_to_End_Simple,Easy,System,1.0,1.0,1.0,0.0,1.0,1.0,0.00012059998698532581
TC-038,End_to_End_Multi,Hard,System,0.9400000000000001,1.0,0.8,0.0,1.0,1.0,0.00021970004308968782
TC-039,End_to_End_Complex,Very Hard,System,0.9619718309859154,1.0,0.8732394366197184,0.0,1.0,1.0,0.0005074000218883157
TC-040,Loop_Detection,Hard,Supervisor,0.7000000000000001,1.0,0.0,0.0,1.0,1.0,0.00014890008606016636
TC-041,Out_of_Domain,Easy,Supervisor,0.7000000000000001,0.0,1.0,0.0,1.0,1.0,0.00014870008453726768
TC-042,Ambiguous_Request,Medium,Planner,0.95,1.0,0.8333333333333333,0.0,1.0,1.0,0.00020000000949949026
TC-043,Precision_Date,Hard,Planner + Technical,0.8,1.0,0.33333333333333337,0.8,1.0,1.0,0.00015059998258948326
