w1,threshold,alpha_l2,w2_no_l3,w2_l3,w3_l3,pearson_r,rmse,mae
0.2,0.75,0.6,0.8,0.48,0.32,0.4279,0.1267,0.094
0.15,0.75,0.6,0.85,0.51,0.34,0.4276,0.1272,0.096
0.25,0.75,0.6,0.75,0.45,0.3,0.4265,0.1265,0.0922
0.1,0.75,0.6,0.9,0.54,0.36,0.4257,0.128,0.0982
0.2,0.75,0.5,0.8,0.4,0.4,0.4248,0.1263,0.092
0.15,0.75,0.5,0.85,0.425,0.425,0.4245,0.1266,0.0938
0.3,0.75,0.6,0.7,0.42,0.28,0.4238,0.1266,0.0908
0.25,0.75,0.5,0.75,0.375,0.375,0.4233,0.1263,0.0905
0.1,0.75,0.5,0.9,0.45,0.45,0.4222,0.1271,0.0958
0.3,0.85,0.6,0.7,0.42,0.28,0.4218,0.1271,0.0861
0.25,0.85,0.6,0.75,0.45,0.3,0.4217,0.1268,0.0861
0.3,0.85,0.5,0.7,0.35,0.35,0.4217,0.1282,0.0844
0.25,0.85,0.5,0.75,0.375,0.375,0.4215,0.1279,0.0842
0.25,0.75,0.7,0.75,0.525,0.225,0.4209,0.128,0.0943
0.2,0.75,0.7,0.8,0.56,0.24,0.4208,0.1286,0.0963
0.3,0.75,0.5,0.7,0.35,0.35,0.4202,0.1266,0.0894
0.35,0.85,0.6,0.65,0.39,0.26,0.4201,0.1276,0.0866
0.35,0.85,0.5,0.65,0.325,0.325,0.4199,0.1288,0.0856
0.2,0.85,0.6,0.8,0.48,0.32,0.4197,0.1268,0.0864
0.35,0.75,0.6,0.65,0.39,0.26,0.4197,0.1269,0.0903
0.3,0.75,0.7,0.7,0.49,0.21,0.4196,0.1277,0.0926
0.15,0.75,0.7,0.85,0.595,0.255,0.4192,0.1296,0.0985
0.2,0.85,0.5,0.8,0.4,0.4,0.4188,0.1277,0.0843
0.35,0.75,0.7,0.65,0.455,0.195,0.4171,0.1277,0.0918
0.4,0.85,0.6,0.6,0.36,0.24,0.4168,0.1283,0.0874
0.3,0.85,0.7,0.7,0.49,0.21,0.4165,0.1275,0.0886
0.4,0.85,0.5,0.6,0.3,0.3,0.4163,0.1296,0.0871
0.1,0.75,0.7,0.9,0.63,0.27,0.4163,0.1308,0.1008
0.25,0.8,0.6,0.75,0.45,0.3,0.4159,0.1269,0.0878
0.35,0.75,0.5,0.65,0.325,0.325,0.4159,0.127,0.0894
0.35,0.85,0.7,0.65,0.455,0.195,0.4157,0.1277,0.0886
0.15,0.85,0.6,0.85,0.51,0.34,0.4157,0.127,0.087
0.25,0.85,0.7,0.75,0.525,0.225,0.4156,0.1276,0.0891
0.3,0.8,0.6,0.7,0.42,0.28,0.4153,0.127,0.0867
0.4,0.75,0.6,0.6,0.36,0.24,0.4146,0.1274,0.0903
0.2,0.8,0.6,0.8,0.48,0.32,0.4146,0.127,0.0892
0.3,0.55,0.5,0.7,0.35,0.35,0.4139,0.1315,0.0945
0.25,0.55,0.5,0.75,0.375,0.375,0.4138,0.1326,0.0962
0.15,0.85,0.5,0.85,0.425,0.425,0.4138,0.1277,0.0849
0.4,0.85,0.7,0.6,0.42,0.18,0.4135,0.1282,0.089
0.4,0.75,0.7,0.6,0.42,0.18,0.4134,0.1279,0.0916
0.3,0.85,0.4,0.7,0.28,0.42,0.4132,0.1308,0.0853
0.3,0.55,0.6,0.7,0.42,0.28,0.4132,0.132,0.0952
0.2,0.85,0.7,0.8,0.56,0.24,0.4132,0.1279,0.0898
0.35,0.8,0.6,0.65,0.39,0.26,0.4131,0.1274,0.0866
0.25,0.55,0.6,0.75,0.45,0.3,0.4129,0.1332,0.0971
